ID,Theme,Subtopic,Title,Author / Body,Year,Source Type,Status,What it covers,Why the reader benefits,Best use,2026 Relevance Score,Read Priority,Region / Scope,Key ethical question,Source URL,Notes / status,Reader mode
3,Regulation,EU AI Act implementation,AI Act | Shaping Europe's digital future,European Commission,2026,Regulation / official guidance,Official,"Official overview of the EU AI Act, risk-based obligations, implementation timeline, GPAI rules and transparency requirements.",Provides the clearest bridge between ethics principles and enforceable legal duties in 2026.,Regulation module; compliance discussion; policy comparison,5,Must Read,European Union,When should ethical expectations become legal obligations?,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,"General application date: 2 August 2026, with exceptions and phased provisions.",Read closely
31,Education & Research,AI in education ethics,"AI and the future of education: Disruptions, dilemmas and directions",UNESCO,2026,Policy / anthology,Official / expert collection,"Explores philosophical, ethical and pedagogical dilemmas created by AI in education and human-machine co-creation.",Useful domain case study showing how general AI-ethics principles change in a real institution such as education.,Education case study; classroom discussion; policy,5,Strong,Global,"How should education preserve human agency, fairness and learning integrity in an AI-rich environment?",https://www.unesco.org/en/articles/ai-and-future-education-disruptions-dilemmas-and-directions,Published Jan 2026.,Read/skim
5,Governance & Measurement,General-purpose AI obligations,Guidelines for providers of general-purpose AI models,European Commission,2026,Regulatory guidance,Official,Clarifies obligations for providers of general-purpose AI models and the Commission's enforcement role.,Gives readers a current compliance perspective on frontier and general-purpose models rather than generic AI regulation.,GPAI governance; provider responsibilities; seminar discussion,5,Strong,European Union,What extra duties should apply to powerful general-purpose models?,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,Commission enforcement powers apply from 2 August 2026.,Read/skim
4,Transparency & Accountability,AI-generated content disclosure,Guidelines on transparency obligations for providers and deployers of AI systems,European Commission,2026,Regulatory guidance,Official,"Explains Article 50 duties concerning user disclosure, machine-readable marking, AI-generated content and deepfakes.",Useful concrete example of how transparency ethics becomes a product-design requirement.,Deepfakes; disclosure; generative-AI product design,5,Must Read,European Union,Should people always know when they are interacting with AI or seeing AI-generated content?,https://digital-strategy.ec.europa.eu/en/policies/guidelines-transparency-ai-generated-content,Article 50 applies from 2 August 2026.,Read closely
1,Governance & Measurement,Responsible AI state of the field,Responsible AI | The 2026 AI Index Report,Stanford HAI / AI Index,2026,Annual evidence report,Institutional / data-driven,"Tracks AI incidents, safety evaluation, transparency, responsible-AI reporting, and the widening gap between capability and governance.",Best current snapshot for showing that AI capability is advancing faster than safety measurement and transparency.,Lecture opener; literature review motivation; 2026 statistics,5,Must Read,Global,Are current evaluation and governance systems keeping pace with frontier AI capability?,https://hai.stanford.edu/ai-index/2026-ai-index-report/responsible-ai,2026 edition; strong source for current facts and figures.,Read closely
7,India & Global South,AI safety capacity,Safe & Trusted AI Working Group,India AI Impact Summit,2026,Policy / working-group output,Official,"Focuses on AI safety capacity, evaluation, governance and incorporating Global South perspectives into international AI safety frameworks.",Useful for understanding how safety debates are being localized beyond US/EU institutions.,India 2026 update; global governance; discussion prompt,5,Strong,India / Global South,Who gets to define acceptable AI risk and safety standards globally?,https://impact.indiaai.gov.in/working-groups/safe-trusted-ai,2026-relevant IndiaAI Impact Summit initiative.,Read/skim
30,Agentic AI,Security and governance practice,State of Agentic AI Security and Governance,OWASP GenAI Security Project,2026,Security / governance report,Practitioner standard,"Covers governance and security issues for autonomous AI systems, including controls, oversight and operational risk.",Gives practitioners a deployment-oriented complement to academic governance work.,Agent security; enterprise governance; checklist design,5,Strong,Global / industry,"What controls are necessary when agents receive tools, permissions and persistent access?",https://genai.owasp.org/resource/state-of-agentic-ai-security-and-governance/,Practitioner-focused resource.,Read/skim
29,Agentic AI,Governance of autonomous agents,Towards Agentic AI Governance: A Preliminary Assessment,Raji & Bashir,2026,Systematic review,Research / preprint,"Reviews governance priorities, mechanisms and stakeholder roles for AI systems that autonomously plan and execute tasks.",Important 2026 bridge from chatbot ethics to systems that can act in the world.,Agentic AI governance; research agenda; seminar,5,Must Read,Research,"How should accountability change when AI can plan, call tools and execute actions autonomously?",https://arxiv.org/abs/2607.07612,Published Jul 2026.,Read closely
12,Governance & Measurement,Developer risk reporting,How are AI developers managing risks? Insights from the Hiroshima AI Process reporting framework,OECD,2025,International governance report,Official / multi-stakeholder,"Analyzes how organizations report risk identification, safety, governance, content authentication and accountability practices.","Gives concrete examples of how frontier developers operationalize risk management, not just what principles say.",Industry governance; transparency; comparative analysis,4,Strong,G7 / global,Can voluntary transparency meaningfully improve accountability for advanced AI developers?,https://oecd.ai/en/ai-publications/how-are-ai-developers-managing-risks-insights-from-responses-to-the-reporting-framework-of-the-hiroshima-ai-process-code-of-conduct,Reporting framework launched in 2025.,Read/skim
6,India & Global South,India AI governance,India AI Governance Guidelines: Empowering Ethical and Responsible AI,IndiaAI / MeitY,2025,National governance guidance,Official,"Sets out principles and recommendations around fairness, accountability, safety, inclusivity and trustworthy AI in India.",Adds an India-specific governance perspective and prevents the reading list from being US/EU-centric.,India case study; policy comparison; local context,4,Must Read,India,"How should responsible AI governance reflect India's scale, diversity and public-interest priorities?",https://indiaai.gov.in/article/india-ai-governance-guidelines-empowering-ethical-and-responsible-ai,Released 5 Nov 2025 under the IndiaAI Mission.,Read closely
2,Transparency & Accountability,Foundation model transparency,The 2025 Foundation Model Transparency Index,Wan et al. / Stanford CRFM,2025,Research report / index,Research report,"Scores major foundation-model developers on disclosures covering data, compute, risk mitigation, usage and downstream impacts.",Lets readers move from vague calls for transparency to measurable disclosure dimensions and compare developers.,Transparency section; accountability case study; assignment,4,Must Read,Global / industry,What information should frontier-model developers be required to disclose?,https://arxiv.org/abs/2512.10169,Average score fell from 58/100 in 2024 to 40/100 in 2025.,Read closely
