ID,Theme,Subtopic,Title,Author / Body,Year,Source Type,Status,What it covers,Why the reader benefits,Best use,2026 Relevance Score,Read Priority,Region / Scope,Key ethical question,Source URL,Notes / status,Reader mode
1,Governance & Measurement,Responsible AI state of the field,Responsible AI | The 2026 AI Index Report,Stanford HAI / AI Index,2026,Annual evidence report,Institutional / data-driven,"Tracks AI incidents, safety evaluation, transparency, responsible-AI reporting, and the widening gap between capability and governance.",Best current snapshot for showing that AI capability is advancing faster than safety measurement and transparency.,Lecture opener; literature review motivation; 2026 statistics,5,Must Read,Global,Are current evaluation and governance systems keeping pace with frontier AI capability?,https://hai.stanford.edu/ai-index/2026-ai-index-report/responsible-ai,2026 edition; strong source for current facts and figures.,Read closely
2,Transparency & Accountability,Foundation model transparency,The 2025 Foundation Model Transparency Index,Wan et al. / Stanford CRFM,2025,Research report / index,Research report,"Scores major foundation-model developers on disclosures covering data, compute, risk mitigation, usage and downstream impacts.",Lets readers move from vague calls for transparency to measurable disclosure dimensions and compare developers.,Transparency section; accountability case study; assignment,4,Must Read,Global / industry,What information should frontier-model developers be required to disclose?,https://arxiv.org/abs/2512.10169,Average score fell from 58/100 in 2024 to 40/100 in 2025.,Read closely
3,Regulation,EU AI Act implementation,AI Act | Shaping Europe's digital future,European Commission,2026,Regulation / official guidance,Official,"Official overview of the EU AI Act, risk-based obligations, implementation timeline, GPAI rules and transparency requirements.",Provides the clearest bridge between ethics principles and enforceable legal duties in 2026.,Regulation module; compliance discussion; policy comparison,5,Must Read,European Union,When should ethical expectations become legal obligations?,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,"General application date: 2 August 2026, with exceptions and phased provisions.",Read closely
4,Transparency & Accountability,AI-generated content disclosure,Guidelines on transparency obligations for providers and deployers of AI systems,European Commission,2026,Regulatory guidance,Official,"Explains Article 50 duties concerning user disclosure, machine-readable marking, AI-generated content and deepfakes.",Useful concrete example of how transparency ethics becomes a product-design requirement.,Deepfakes; disclosure; generative-AI product design,5,Must Read,European Union,Should people always know when they are interacting with AI or seeing AI-generated content?,https://digital-strategy.ec.europa.eu/en/policies/guidelines-transparency-ai-generated-content,Article 50 applies from 2 August 2026.,Read closely
5,Governance & Measurement,General-purpose AI obligations,Guidelines for providers of general-purpose AI models,European Commission,2026,Regulatory guidance,Official,Clarifies obligations for providers of general-purpose AI models and the Commission's enforcement role.,Gives readers a current compliance perspective on frontier and general-purpose models rather than generic AI regulation.,GPAI governance; provider responsibilities; seminar discussion,5,Strong,European Union,What extra duties should apply to powerful general-purpose models?,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,Commission enforcement powers apply from 2 August 2026.,Read/skim
6,India & Global South,India AI governance,India AI Governance Guidelines: Empowering Ethical and Responsible AI,IndiaAI / MeitY,2025,National governance guidance,Official,"Sets out principles and recommendations around fairness, accountability, safety, inclusivity and trustworthy AI in India.",Adds an India-specific governance perspective and prevents the reading list from being US/EU-centric.,India case study; policy comparison; local context,4,Must Read,India,How should responsible AI governance reflect India's scale diversity and public-interest priorities?,https://indiaai.gov.in/article/india-ai-governance-guidelines-empowering-ethical-and-responsible-ai,Released 5 Nov 2025 under the IndiaAI Mission.,Read closely
7,India & Global South,AI safety capacity,Safe & Trusted AI Working Group,India AI Impact Summit,2026,Policy / working-group output,Official,"Focuses on AI safety capacity, evaluation, governance and incorporating Global South perspectives into international AI safety frameworks.",Useful for understanding how safety debates are being localized beyond US/EU institutions.,India 2026 update; global governance; discussion prompt,5,Strong,India / Global South,Who gets to define acceptable AI risk and safety standards globally?,https://impact.indiaai.gov.in/working-groups/safe-trusted-ai,2026-relevant IndiaAI Impact Summit initiative.,Read/skim
8,Governance & Measurement,Risk management framework,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile (NIST AI 600-1),NIST,2024,Risk-management framework,Official,"Identifies GenAI-specific risks and actions across the AI lifecycle, aligned with Govern, Map, Measure and Manage.",One of the most practical sources for converting ethical concerns into operational risk controls.,Risk register; deployment checklist; governance design,4,Must Read,United States / cross-sector,How can an organization operationalize trustworthy GenAI rather than merely state principles?,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,Companion to NIST AI RMF 1.0.,Read closely
9,Foundations,Human-rights-centered AI ethics,Recommendation on the Ethics of Artificial Intelligence,UNESCO,2021,International ethics standard,Official,"Defines principles including proportionality, do-no-harm, safety, privacy, fairness, transparency, accountability, sustainability and human oversight.",Provides a normative foundation for almost every later AI ethics topic.,Foundations lecture; ethics framework; compare policies,4,Must Read,Global,What values should guide the design and deployment of AI systems?,https://www.unesco.org/en/artificial-intelligence/recommendation-ethics,Global UNESCO recommendation; remains foundational in 2026.,Read closely
10,Foundations,Trustworthy AI principles,OECD AI Principles,OECD,2024,International policy principles,Official,"Principles for innovative and trustworthy AI, covering human rights, fairness, transparency, robustness, security and accountability.",Concise policy baseline that is easy to compare against NIST UNESCO EU and national frameworks.,Framework comparison; policy lecture; exam preparation,3,Strong,Global,What minimum principles should trustworthy AI systems satisfy across countries?,https://oecd.ai/en/ai-principles,Initially adopted 2019; updated May 2024.,Read/skim
