ID,Theme,Subtopic,Title,Author / Body,Year,Source Type,Status,What it covers,Why the reader benefits,Best use,2026 Relevance Score,Read Priority,Region / Scope,Key ethical question,Source URL,Notes / status,Reader mode
30,Agentic AI,Security and governance practice,State of Agentic AI Security and Governance,OWASP GenAI Security Project,2026,Security / governance report,Practitioner standard,"Covers governance and security issues for autonomous AI systems, including controls, oversight and operational risk.",Gives practitioners a deployment-oriented complement to academic governance work.,Agent security; enterprise governance; checklist design,5,Strong,Global / industry,"What controls are necessary when agents receive tools, permissions and persistent access?",https://genai.owasp.org/resource/state-of-agentic-ai-security-and-governance/,Practitioner-focused resource.,Read/skim
29,Agentic AI,Governance of autonomous agents,Towards Agentic AI Governance: A Preliminary Assessment,Raji & Bashir,2026,Systematic review,Research / preprint,"Reviews governance priorities, mechanisms and stakeholder roles for AI systems that autonomously plan and execute tasks.",Important 2026 bridge from chatbot ethics to systems that can act in the world.,Agentic AI governance; research agenda; seminar,5,Must Read,Research,"How should accountability change when AI can plan, call tools and execute actions autonomously?",https://arxiv.org/abs/2607.07612,Published Jul 2026.,Read closely
31,Education & Research,AI in education ethics,"AI and the future of education: Disruptions, dilemmas and directions",UNESCO,2026,Policy / anthology,Official / expert collection,"Explores philosophical, ethical and pedagogical dilemmas created by AI in education and human-machine co-creation.",Useful domain case study showing how general AI-ethics principles change in a real institution such as education.,Education case study; classroom discussion; policy,5,Strong,Global,"How should education preserve human agency, fairness and learning integrity in an AI-rich environment?",https://www.unesco.org/en/articles/ai-and-future-education-disruptions-dilemmas-and-directions,Published Jan 2026.,Read/skim
5,Governance & Measurement,General-purpose AI obligations,Guidelines for providers of general-purpose AI models,European Commission,2026,Regulatory guidance,Official,Clarifies obligations for providers of general-purpose AI models and the Commission's enforcement role.,Gives readers a current compliance perspective on frontier and general-purpose models rather than generic AI regulation.,GPAI governance; provider responsibilities; seminar discussion,5,Strong,European Union,What extra duties should apply to powerful general-purpose models?,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,Commission enforcement powers apply from 2 August 2026.,Read/skim
1,Governance & Measurement,Responsible AI state of the field,Responsible AI | The 2026 AI Index Report,Stanford HAI / AI Index,2026,Annual evidence report,Institutional / data-driven,"Tracks AI incidents, safety evaluation, transparency, responsible-AI reporting, and the widening gap between capability and governance.",Best current snapshot for showing that AI capability is advancing faster than safety measurement and transparency.,Lecture opener; literature review motivation; 2026 statistics,5,Must Read,Global,Are current evaluation and governance systems keeping pace with frontier AI capability?,https://hai.stanford.edu/ai-index/2026-ai-index-report/responsible-ai,2026 edition; strong source for current facts and figures.,Read closely
26,Human-AI Relationships,Companion-app design,An Evaluation of AI Companion Apps,Research paper,2026,Empirical audit,Research / preprint,"Audits popular AI companion apps for dark patterns, anthropomorphism, stereotypes, erotica and technical issues.","Connects ethical risk to actual interface and monetization design choices, not only model behavior.",Product ethics; dark patterns; companion AI,5,Must Read,EU / UK market,Can product incentives push AI companions toward manipulative engagement?,https://arxiv.org/html/2605.08093v2,Version updated Aug 2026.,Read closely
25,Human-AI Relationships,Emotional support,Emotional Support with Conversational AI: Talking to Machines About Life,"Huang, Stodolska & Sultana",2026,Qualitative HCI research,Research / preprint,Analyzes how emotional support is co-constructed with AI companions and tensions such as support vs dependency and validation vs delusion.,Provides nuanced evidence beyond simplistic claims that AI companions are either beneficial or harmful.,HCI ethics; mental-health-adjacent discussion; companionship,5,Must Read,Research,How should AI offer emotional support without reinforcing dependency or harmful beliefs?,https://arxiv.org/html/2603.22618v1,2026 HCI-focused research.,Read closely
28,Human-AI Relationships,Identity and parasocial interaction,Negotiating Digital Identities with AI Companions,Research paper,2026,HCI / computational social science,Research / preprint,Studies identity construction and negotiation in AI-companion communities using large-scale online discussions.,Useful for understanding anthropomorphism and dependence as social processes rather than merely UI bugs.,HCI seminar; identity; anthropomorphism,5,Specialist,Research,"How do AI companions reshape users' identities, expectations and social relationships?",https://arxiv.org/html/2601.12181v1,"Analyzes 22,374 online discussions.",Reference as needed
27,Human-AI Relationships,Emotional dependence,Stumbling Into AI Emotional Dependence: How Routine AI Interactions Reshape Human Connection,Shi et al.,2026,Perspective / evidence synthesis,Research / preprint,Argues that emotional dependence can emerge incidentally in general-purpose AI use and may alter future preferences for human vs AI support.,Highlights cumulative interaction effects that one-shot safety evaluations can miss.,Long-term interaction ethics; product policy; research gaps,5,Must Read,Research,"Should general-purpose assistants be evaluated for long-term relational effects, not just single-turn harms?",https://arxiv.org/abs/2606.04150,Includes synthesis of longitudinal evidence.,Read closely
7,India & Global South,AI safety capacity,Safe & Trusted AI Working Group,India AI Impact Summit,2026,Policy / working-group output,Official,"Focuses on AI safety capacity, evaluation, governance and incorporating Global South perspectives into international AI safety frameworks.",Useful for understanding how safety debates are being localized beyond US/EU institutions.,India 2026 update; global governance; discussion prompt,5,Strong,India / Global South,Who gets to define acceptable AI risk and safety standards globally?,https://impact.indiaai.gov.in/working-groups/safe-trusted-ai,2026-relevant IndiaAI Impact Summit initiative.,Read/skim
